,artist,followers,genre,popularity,main_genre
456,The Cranberries,2690090,"['irish rock', 'pop rock', 'rock']",75,irish rock
457,Migos,11984178,"['atl hip hop', 'pop rap', 'rap', 'trap']",82,atl hip hop
459,Passage,55,[],1,
460,J. Cole,15300257,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",89,conscious hip hop
463,Gary Jules,72466,['neo mellow'],55,neo mellow
465,A$AP Mob,1827007,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",65,hip hop
466,Grizzly Bear,794861,"['alternative dance', 'art pop', 'baroque pop', 'brooklyn indie', 'chillwave', 'dream pop', 'freak folk', 'indie pop', 'indie rock', 'modern rock', 'new weird america', 'stomp and holler']",62,alternative dance
488,Planet Funk,46942,"['big beat', 'electronic rock']",48,big beat
489,The La's,158371,['britpop'],57,britpop
490,Ryan Adams,528442,"['alternative country', 'neo mellow', 'new americana', 'pop rock', 'roots rock', 'singer-songwriter', 'stomp and holler']",61,alternative country
491,Kyle Dixon & Michael Stein,77140,"['horror synth', 'soundtrack']",56,horror synth
493,Elvis Presley,6105243,"['adult standards', 'rock-and-roll', 'rockabilly']",83,adult standards
494,Pet Shop Boys,1325812,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",69,art pop
496,"Tyler, The Creator",7565548,"['hip hop', 'rap']",88,hip hop
497,Post Malone,35238471,"['dfw rap', 'melodic rap', 'rap']",92,dfw rap
498,DVBBS,950608,"['canadian electronic', 'dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",69,canadian electronic
499,Boombox Cartel,192625,"['bass trap', 'edm', 'electro house', 'electronic trap', 'vapor twitch']",57,bass trap
500,Kansas,1145251,"['album rock', 'art rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",68,album rock
501,Enigma,673050,"['downtempo', 'new age']",64,downtempo
502,Muse,6763123,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",78,alternative rock
504,Big Shaq,322927,['london rap'],52,london rap
505,Gigi D'Agostino,603622,"['eurodance', 'europop', 'italo dance']",72,eurodance
506,Boston,1993975,"['album rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",69,album rock
540,Giggs,401569,"['grime', 'london rap', 'uk alternative hip hop', 'uk hip hop']",66,grime
541,Alex & Echoes,388,['irish pop'],6,irish pop
543,The Dig,23227,[],40,
546,Bell X1,46771,"['irish pop', 'irish rock', 'melancholia']",43,irish pop
549,Daithí,12308,['irish pop'],37,irish pop
553,Anderson .Paak,2054585,['escape room'],87,escape room
555,Chance the Rapper,5495332,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",80,chicago rap
556,Portico,26116,['downtempo'],25,downtempo
558,Blue Swede,84180,['classic swedish pop'],61,classic swedish pop
571,All Tvvins,23144,['irish pop'],36,irish pop
574,Lisa Gerrard,139807,"['ethereal wave', 'neoclassical darkwave', 'oceania soundtrack', 'soundtrack']",66,ethereal wave
587,Klaus Badelt,98250,"['german soundtrack', 'soundtrack']",64,german soundtrack
599,Jeff Rona,2019,[],36,
607,Iggy Pop,1265885,"['alternative rock', 'classic rock', 'glam rock', 'new wave', 'permanent wave', 'post-punk', 'protopunk', 'punk', 'rock']",66,alternative rock
624,The Shins,1080732,"['albuquerque indie', 'alternative rock', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'pop rock', 'portland indie', 'rock', 'stomp and holler']",64,albuquerque indie
625,Ed Sheeran,89560714,"['pop', 'uk pop']",96,pop
627,Deep Blue Something,49318,['pop rock'],57,pop rock
628,The Cure,3477561,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",77,new wave
632,The Clash,2233131,"['classic rock', 'permanent wave', 'punk', 'rock']",72,classic rock
636,Justin Bieber,54346303,"['canadian pop', 'pop']",97,canadian pop
638,Desiigner,3292552,"['pop rap', 'rap', 'trap', 'viral trap']",69,pop rap
639,The Prodigy,2376113,"['big beat', 'breakbeat', 'dance rock', 'hardcore techno', 'rave']",68,big beat
667,Gossip,305687,"['alternative dance', 'electropop', 'new rave', 'olympia wa indie']",53,alternative dance
668,Gnarls Barkley,427867,"['atl hip hop', 'neo soul']",65,atl hip hop
